epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.126,4.15334,7.77457,4.35248,0,0,0,0,5.46643,5.02237,4.18163,0.00328767,0.00328767,0.00328767
2,555.671,3.79491,6.95408,4.00097,0.18061,0.11067,0.00622,0.00194,3.72416,4.36877,3.24052,0.00662094,0.00662094,0.00662094
3,832.22,2.61381,4.51945,2.5705,0.41333,0.10524,0.06289,0.0134,3.64759,4.04196,2.97864,0.00995414,0.00995414,0.00995414
4,1108.1,2.2047,3.18015,1.93102,0.36696,0.33777,0.28795,0.11475,2.09257,6.02172,1.83856,0.0099997,0.0099997,0.0099997
5,1384.55,1.98553,2.57316,1.7274,0.64461,0.34724,0.39618,0.16391,2.1856,2.33603,1.69263,0.0099996,0.0099996,0.0099996
6,1660.31,1.87544,2.29512,1.63432,0.67635,0.32564,0.42627,0.19493,2.19802,2.74776,1.70701,0.00999951,0.00999951,0.00999951
7,1936.86,1.80645,2.10683,1.57829,0.70184,0.30858,0.43263,0.17871,2.17516,2.24001,1.67729,0.00999941,0.00999941,0.00999941
8,2212.66,1.74479,1.95069,1.52703,0.72622,0.45439,0.56017,0.26948,1.87698,1.76382,1.48172,0.00999931,0.00999931,0.00999931
9,2489.3,1.70979,1.83201,1.47665,0.65108,0.48405,0.50608,0.1843,2.36044,1.7598,1.78472,0.00999921,0.00999921,0.00999921
10,2765.07,1.64211,1.78354,1.43848,0.79426,0.40627,0.55544,0.24333,2.11345,2.44042,1.63393,0.00999911,0.00999911,0.00999911
11,3041.5,1.51282,1.75307,1.37785,0.67611,0.56365,0.65903,0.36786,1.67227,1.86865,1.39418,0.00999901,0.00999901,0.00999901
12,3317.22,1.47328,1.70137,1.3546,0.69039,0.56739,0.68755,0.34571,1.76241,1.46039,1.38866,0.00999891,0.00999891,0.00999891
13,3593.59,1.4467,1.62519,1.32547,0.70518,0.65326,0.7109,0.31506,2.00135,1.47996,1.56815,0.00999881,0.00999881,0.00999881
14,3869.27,1.42846,1.61003,1.3159,0.63198,0.7944,0.7516,0.28578,2.19107,1.58659,1.5738,0.00999871,0.00999871,0.00999871
