epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.176,0.64438,0.59642,0.94336,0.9169,0.92054,0.96139,0.80108,0.7579,0.39445,0.9234,0.0032906,0.0032906,0.0032906
2,554.559,0.64263,0.60316,0.94016,0.96116,0.88269,0.956,0.79191,0.765,0.41607,0.92312,0.00662387,0.00662387,0.00662387
3,831.24,0.68162,0.63009,0.94707,0.86832,0.93882,0.958,0.77873,0.74761,0.43663,0.9273,0.00995707,0.00995707,0.00995707
4,1108.33,0.73287,0.67835,0.9696,0.89235,0.92557,0.95153,0.78282,0.75284,0.45646,0.94728,0.0099997,0.0099997,0.0099997
5,1385.84,0.75688,0.68977,0.97531,0.92556,0.91288,0.94835,0.78181,0.71691,0.46894,0.92678,0.0099996,0.0099996,0.0099996
6,1662.37,0.75389,0.69156,0.97999,0.92045,0.90459,0.95107,0.74973,0.90124,0.47536,0.97601,0.00999951,0.00999951,0.00999951
7,1939.84,0.75302,0.70212,0.97969,0.90111,0.88565,0.93781,0.7576,0.80638,0.45691,0.94054,0.00999941,0.00999941,0.00999941
8,2216.56,0.76182,0.69169,0.97893,0.89703,0.91014,0.94059,0.67393,1.18373,0.53755,1.13685,0.00999931,0.00999931,0.00999931
9,2493.74,0.76097,0.70584,0.98175,0.92128,0.89749,0.93812,0.74539,0.86632,0.47277,0.98721,0.00999921,0.00999921,0.00999921
10,2772.83,0.75521,0.71599,0.97769,0.90785,0.89119,0.94292,0.6992,1.00099,0.52204,1.02128,0.00999911,0.00999911,0.00999911
11,3075.92,0.76403,0.70429,0.98002,0.91459,0.83147,0.91466,0.71836,0.89494,0.52477,0.99098,0.00999901,0.00999901,0.00999901
