epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.981,5.96018,45.4871,4.32519,0,0,0,0,6.21091,30.735,4.16358,0.0026,0.0026,0.0026
2,201.374,5.70781,32.7399,4.0784,0,0,0,0,6.18599,4.58693,4.16208,0.00529995,0.00529995,0.00529995
3,300.81,4.69965,9.69173,3.61457,0,0,0,0,6.03555,5.20485,3.93593,0.00799984,0.00799984,0.00799984
4,400.273,3.06916,4.20304,1.97695,0,0,0,0,6.19229,7.45747,9.07649,0.0099997,0.0099997,0.0099997
5,499.732,2.47795,2.87725,1.57907,0.03554,0.07108,0.03986,0.00726,4.69343,11.4233,5.92424,0.0099996,0.0099996,0.0099996
6,599.194,2.21951,2.36951,1.4092,0.39949,0.3777,0.33523,0.15166,2.07568,14.6526,1.51518,0.00999951,0.00999951,0.00999951
7,698.637,2.0373,2.10779,1.32488,0.67254,0.35278,0.40338,0.24606,1.63105,1.90643,1.13914,0.00999941,0.00999941,0.00999941
8,798.103,1.89306,1.90853,1.26438,0.47135,0.42992,0.41098,0.24384,1.51733,2.1156,1.08499,0.00999931,0.00999931,0.00999931
9,897.553,1.76143,1.72736,1.21522,0.28935,0.52194,0.41455,0.2779,1.47083,2.83711,1.02949,0.00999921,0.00999921,0.00999921
10,997.049,1.72794,1.63704,1.17323,0.40119,0.52579,0.42,0.25022,1.4815,2.4842,1.10668,0.00999911,0.00999911,0.00999911
11,1096.47,1.70197,1.54671,1.17787,0.50775,0.53893,0.46104,0.30264,1.37827,3.82555,1.05431,0.00999901,0.00999901,0.00999901
12,1196.01,1.67405,1.48369,1.1275,0.61682,0.5103,0.50222,0.27742,1.42425,1.51061,1.03599,0.00999891,0.00999891,0.00999891
13,1295.41,1.61533,1.42394,1.12666,0.55898,0.49226,0.40492,0.20258,1.76972,5.67738,1.15939,0.00999881,0.00999881,0.00999881
14,1394.87,1.58983,1.3426,1.10358,0.58364,0.48948,0.51627,0.3365,1.19076,1.44158,0.95768,0.00999871,0.00999871,0.00999871
15,1494.37,1.54976,1.31519,1.08609,0.55133,0.48619,0.49556,0.31697,1.47188,1.71725,1.03451,0.00999861,0.00999861,0.00999861
16,1593.81,1.55872,1.25019,1.08583,0.53239,0.53824,0.5861,0.35638,1.17344,1.72062,0.94651,0.00999851,0.00999851,0.00999851
17,1693.3,1.50016,1.20768,1.07496,0.86099,0.48878,0.63129,0.39437,1.22474,2.27287,0.96676,0.00999842,0.00999842,0.00999842
18,1792.81,1.50143,1.19687,1.08911,0.65108,0.44056,0.50078,0.32925,1.27329,1.57686,0.94918,0.00999832,0.00999832,0.00999832
19,1892.22,1.51341,1.16228,1.07821,0.63121,0.628,0.68367,0.4794,1.03485,1.74166,0.92434,0.00999822,0.00999822,0.00999822
20,1991.77,1.4668,1.11027,1.04207,0.81658,0.54997,0.66223,0.43429,1.19399,1.33542,0.95933,0.00999812,0.00999812,0.00999812
21,2091.21,1.49401,1.13326,1.06052,0.5289,0.72848,0.66419,0.37878,1.23707,1.18028,0.96629,0.00999802,0.00999802,0.00999802
22,2190.66,1.4761,1.09607,1.06513,0.47467,0.6826,0.65249,0.44197,1.04174,1.35057,0.94768,0.00999792,0.00999792,0.00999792
23,2290.06,1.43447,1.08329,1.04512,0.56592,0.75904,0.63498,0.41494,1.20532,1.13348,0.94618,0.00999782,0.00999782,0.00999782
24,2389.53,1.42511,1.05691,1.05183,0.59758,0.6802,0.6745,0.45214,1.14961,1.31727,0.96694,0.00999772,0.00999772,0.00999772
25,2488.94,1.41592,1.07037,1.05281,0.65539,0.5896,0.60263,0.38281,1.15043,1.41308,0.94884,0.00999762,0.00999762,0.00999762
26,2588.35,1.42507,1.02889,1.03492,0.61165,0.60742,0.63643,0.44303,1.09908,1.30917,0.92563,0.00999753,0.00999753,0.00999753
27,2687.78,1.44851,1.01864,1.06262,0.64199,0.58423,0.58925,0.40808,1.07465,1.33929,0.92779,0.00999743,0.00999743,0.00999743
28,2787.25,1.38946,0.9935,1.01142,0.52344,0.60513,0.62474,0.37998,1.15553,1.4611,0.93246,0.00999733,0.00999733,0.00999733
29,2886.71,1.38097,0.97741,1.02871,0.58125,0.69975,0.78371,0.54703,0.95036,1.16879,0.89833,0.00999723,0.00999723,0.00999723
30,2986.26,1.35353,0.97554,1.01502,0.50126,0.7935,0.67324,0.46084,0.91191,1.0626,0.89048,0.00999713,0.00999713,0.00999713
31,3085.7,1.36636,0.97857,1.01917,0.7534,0.65105,0.80651,0.57832,0.96614,1.04775,0.89708,0.00999703,0.00999703,0.00999703
32,3185.19,1.36915,0.94909,1.00806,0.66119,0.68902,0.77285,0.56577,0.93911,1.01463,0.89341,0.00999693,0.00999693,0.00999693
33,3284.59,1.35099,0.93062,1.0251,0.57533,0.80329,0.80959,0.56822,1.05194,1.02247,0.9144,0.00999683,0.00999683,0.00999683
34,3384.05,1.35227,0.94324,1.00705,0.76741,0.6824,0.78778,0.61277,0.90727,1.25277,0.8896,0.00999673,0.00999673,0.00999673
35,3483.58,1.31757,0.89474,1.01478,0.77047,0.76853,0.8178,0.58953,0.91996,1.03254,0.89017,0.00999663,0.00999663,0.00999663
36,3583,1.33286,0.9195,1.01317,0.70648,0.77702,0.79603,0.60322,0.9,0.96644,0.87373,0.00999654,0.00999654,0.00999654
37,3682.43,1.33066,0.89676,0.98563,0.72791,0.76222,0.87538,0.63191,0.92156,1.04116,0.88949,0.00999644,0.00999644,0.00999644
38,3781.91,1.31996,0.89625,1.00429,0.78071,0.63465,0.66429,0.48693,0.93453,1.37391,0.88788,0.00999634,0.00999634,0.00999634
39,3881.33,1.28954,0.85567,0.97992,0.80166,0.55773,0.69105,0.52554,0.8829,1.25345,0.87353,0.00999624,0.00999624,0.00999624
40,3980.71,1.31741,0.87878,1.00448,0.80878,0.75582,0.79987,0.60653,0.86995,1.00095,0.87462,0.00999614,0.00999614,0.00999614
41,4080.18,1.29485,0.88181,0.99298,0.78822,0.84309,0.87697,0.63009,0.91658,0.92078,0.88866,0.00999604,0.00999604,0.00999604
42,4179.61,1.29535,0.86238,0.99463,0.54234,0.60993,0.61587,0.45178,0.97771,1.32033,0.91066,0.00999594,0.00999594,0.00999594
43,4279.01,1.32698,0.87692,1.00758,0.81312,0.59743,0.70538,0.5117,0.94466,1.3835,0.89739,0.00999584,0.00999584,0.00999584
44,4378.47,1.29835,0.85252,0.99139,0.83147,0.75256,0.87818,0.65701,0.79009,0.91141,0.85932,0.00999574,0.00999574,0.00999574
45,4477.93,1.28192,0.85273,0.98196,0.78958,0.81798,0.85832,0.63628,0.89881,0.84704,0.88438,0.00999564,0.00999564,0.00999564
46,4577.36,1.22309,0.81353,0.97174,0.601,0.89245,0.87306,0.64159,0.83123,1.01909,0.85732,0.00999554,0.00999554,0.00999554
47,4676.83,1.28479,0.84936,0.99107,0.71255,0.77277,0.85807,0.62046,0.93684,0.94048,0.892,0.00999545,0.00999545,0.00999545
48,4776.27,1.23506,0.8207,0.97794,0.63315,0.93934,0.90799,0.67257,0.88357,0.88193,0.87732,0.00999535,0.00999535,0.00999535
49,4875.73,1.25981,0.80695,0.97948,0.68799,0.89583,0.89324,0.68614,0.83147,0.8001,0.87531,0.00999525,0.00999525,0.00999525
50,4975.28,1.26294,0.82753,0.99036,0.66239,0.84845,0.89005,0.6562,0.89855,0.85809,0.87954,0.00999515,0.00999515,0.00999515
51,5074.71,1.25099,0.80584,0.97666,0.65828,0.89092,0.88002,0.68161,0.86111,0.89931,0.87799,0.00999505,0.00999505,0.00999505
52,5174.15,1.23713,0.79224,0.9732,0.96853,0.74943,0.94481,0.70482,0.872,0.71471,0.87267,0.00999495,0.00999495,0.00999495
53,5273.6,1.23932,0.77549,0.98724,0.73925,0.8125,0.89575,0.66899,0.90026,0.87515,0.87617,0.00999485,0.00999485,0.00999485
54,5373.1,1.20731,0.78022,0.97319,0.66016,0.72844,0.8141,0.63188,0.91049,1.07582,0.88148,0.00999475,0.00999475,0.00999475
55,5472.55,1.21961,0.78483,0.96363,0.75846,0.83682,0.90476,0.70433,0.83785,0.86733,0.85612,0.00999465,0.00999465,0.00999465
56,5571.98,1.2262,0.78133,0.97381,0.71533,0.74632,0.83441,0.66233,0.82789,0.91526,0.85942,0.00999456,0.00999456,0.00999456
57,5671.38,1.22188,0.77131,0.97062,0.7684,0.94447,0.95167,0.74324,0.79915,0.60795,0.86139,0.00999446,0.00999446,0.00999446
58,5770.85,1.21881,0.77217,0.96422,0.87897,0.81735,0.94935,0.74131,0.77057,0.6325,0.85684,0.00999436,0.00999436,0.00999436
59,5870.25,1.19799,0.74339,0.97969,0.62532,0.80932,0.7832,0.61396,0.86605,0.81449,0.8794,0.00999426,0.00999426,0.00999426
60,5969.67,1.23099,0.78096,0.97964,0.91899,0.95375,0.95263,0.69866,0.86736,0.66354,0.87199,0.00999416,0.00999416,0.00999416
61,6069.08,1.19329,0.73869,0.97641,0.80878,0.85952,0.93087,0.7072,0.79742,0.65358,0.8627,0.00999406,0.00999406,0.00999406
62,6168.57,1.21679,0.74795,0.97803,0.69181,0.85929,0.8701,0.67077,0.75931,0.70743,0.85759,0.00999396,0.00999396,0.00999396
63,6268,1.2169,0.75189,0.96949,0.90898,0.81407,0.94318,0.72976,0.92172,0.69633,0.87576,0.00999386,0.00999386,0.00999386
64,6367.47,1.20369,0.74471,0.9681,0.83999,0.73922,0.86579,0.65681,0.87086,0.72791,0.88206,0.00999376,0.00999376,0.00999376
65,6466.9,1.21429,0.74492,0.97903,0.88454,0.88655,0.9381,0.768,0.75147,0.62363,0.8628,0.00999366,0.00999366,0.00999366
66,6566.33,1.18811,0.74674,0.9604,0.85951,0.88002,0.93805,0.72661,0.86571,0.69125,0.86042,0.00999356,0.00999356,0.00999356
67,6665.77,1.17726,0.72401,0.95382,0.87987,0.75946,0.85492,0.6739,0.80168,0.82901,0.86585,0.00999347,0.00999347,0.00999347
68,6765.2,1.22307,0.75842,0.97435,0.88727,0.82058,0.92395,0.72494,0.79417,0.63701,0.8671,0.00999337,0.00999337,0.00999337
69,6864.67,1.16931,0.71597,0.95676,0.84727,0.93343,0.93998,0.74446,0.72481,0.54445,0.86219,0.00999327,0.00999327,0.00999327
70,6964.13,1.17943,0.7258,0.96137,0.90661,0.91739,0.94616,0.77613,0.72543,0.57757,0.85088,0.00999317,0.00999317,0.00999317
