epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.624,0.7511,0.72113,0.98116,0.90519,0.90281,0.95137,0.77672,0.76721,0.40651,0.92334,0.00324074,0.00324074,0.00324074
2,281.372,0.76552,0.72015,0.99075,0.92847,0.87625,0.94659,0.73042,0.89821,0.45376,0.96594,0.00657401,0.00657401,0.00657401
3,419.101,0.7866,0.74285,0.99173,0.89679,0.92477,0.951,0.72388,0.97905,0.49758,0.96448,0.00990721,0.00990721,0.00990721
4,556.912,0.82917,0.7983,1.00645,0.92605,0.87712,0.9382,0.71305,0.94364,0.49963,0.98994,0.0099997,0.0099997,0.0099997
5,694.528,0.83935,0.80997,1.01561,0.92882,0.90234,0.94466,0.74934,0.81515,0.49882,0.95961,0.0099996,0.0099996,0.0099996
6,832.282,0.84307,0.80952,1.00955,0.91636,0.87372,0.93913,0.67379,1.03982,0.52062,1.03015,0.00999951,0.00999951,0.00999951
7,969.994,0.84577,0.8034,1.02035,0.868,0.90962,0.9324,0.70241,0.96471,0.54421,1.02955,0.00999941,0.00999941,0.00999941
8,1107.73,0.84771,0.80204,1.01687,0.84554,0.88276,0.92533,0.68249,0.99398,0.54012,0.99119,0.00999931,0.00999931,0.00999931
9,1245.45,0.84035,0.8098,1.01486,0.92592,0.87401,0.93462,0.73769,0.84239,0.49692,0.95152,0.00999921,0.00999921,0.00999921
10,1383.5,0.8508,0.82402,1.02224,0.88054,0.88104,0.91586,0.67101,1.02749,0.57009,1.02969,0.00999911,0.00999911,0.00999911
11,1521.19,0.85036,0.8075,1.01707,0.87878,0.89067,0.92834,0.68147,1.04882,0.56526,1.01091,0.00999901,0.00999901,0.00999901
12,1658.85,0.83978,0.81135,1.01115,0.88696,0.86675,0.93089,0.69654,1.0022,0.58123,1.01041,0.00999891,0.00999891,0.00999891
13,1796.62,0.84871,0.80979,1.02235,0.88033,0.91027,0.94009,0.68112,1.06748,0.52452,1.03819,0.00999881,0.00999881,0.00999881
14,1934.32,0.8588,0.81376,1.01609,0.91125,0.89766,0.93613,0.74722,0.8327,0.4462,0.94311,0.00999871,0.00999871,0.00999871
15,2072.01,0.85663,0.79142,1.02094,0.90646,0.87256,0.93019,0.72025,0.84258,0.50925,0.95141,0.00999861,0.00999861,0.00999861
16,2209.81,0.85122,0.80211,1.0141,0.84106,0.87082,0.90916,0.70791,0.85554,0.55062,0.96254,0.00999851,0.00999851,0.00999851
17,2347.46,0.84347,0.82302,1.01859,0.90034,0.91869,0.93805,0.71939,0.90586,0.47403,0.95702,0.00999842,0.00999842,0.00999842
18,2485.2,0.85179,0.81477,1.02094,0.90247,0.90854,0.93536,0.7329,0.87373,0.49624,0.96131,0.00999832,0.00999832,0.00999832
19,2622.98,0.83236,0.79776,1.00971,0.93256,0.88786,0.9459,0.70239,0.98941,0.50306,0.99489,0.00999822,0.00999822,0.00999822
20,2760.7,0.84815,0.80212,1.01688,0.92176,0.89203,0.92941,0.6701,1.08115,0.50893,1.04841,0.00999812,0.00999812,0.00999812
21,2898.48,0.84532,0.81361,1.01478,0.89186,0.9345,0.93799,0.69225,1.046,0.50294,1.02356,0.00999802,0.00999802,0.00999802
22,3036.19,0.85748,0.80983,1.02372,0.92016,0.8951,0.94685,0.73032,0.87022,0.47065,0.94708,0.00999792,0.00999792,0.00999792
23,3173.91,0.85516,0.80175,1.01926,0.88448,0.86977,0.92744,0.71084,0.94717,0.51689,1.00279,0.00999782,0.00999782,0.00999782
24,3311.66,0.84467,0.80055,1.01629,0.88206,0.91834,0.94547,0.69805,0.99211,0.50935,1.00555,0.00999772,0.00999772,0.00999772
25,3449.45,0.84992,0.8151,1.01786,0.9157,0.88793,0.9411,0.73638,0.88227,0.50453,0.98111,0.00999762,0.00999762,0.00999762
26,3587.13,0.84874,0.80425,1.01601,0.90214,0.90024,0.93837,0.7297,0.86499,0.45759,0.96308,0.00999753,0.00999753,0.00999753
