epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.188,5.85309,57.0687,4.34692,0,0,0,0,6.20558,30.7687,4.15686,0.00325,0.00325,0.00325
2,341.31,4.6435,17.3697,3.69508,0,0,0,0,6.20767,4.91181,4.23786,0.00658327,0.00658327,0.00658327
3,511.761,2.84939,4.3125,1.95865,0.28044,0.33811,0.1673,0.07442,2.44074,3.83728,1.99093,0.00991647,0.00991647,0.00991647
4,682.087,2.3409,2.70444,1.5281,0.3074,0.3277,0.21882,0.10905,1.96677,11.7343,1.37164,0.0099997,0.0099997,0.0099997
5,852.217,2.01924,2.21938,1.32135,0.15207,0.30282,0.13778,0.09581,1.74221,21.5778,1.28366,0.0099996,0.0099996,0.0099996
6,1022.14,1.85232,1.96897,1.2576,0.51183,0.22157,0.16269,0.09924,1.60202,2.84503,1.13885,0.00999951,0.00999951,0.00999951
7,1192.58,1.74886,1.78431,1.18067,0.35106,0.41373,0.37106,0.22843,1.4156,1.85232,1.06175,0.00999941,0.00999941,0.00999941
8,1362.73,1.73495,1.63089,1.16731,0.64474,0.42645,0.37247,0.1953,1.54998,2.00223,1.05458,0.00999931,0.00999931,0.00999931
9,1533.05,1.65738,1.51169,1.14243,0.8464,0.56801,0.65494,0.37413,1.4935,1.81702,1.03281,0.00999921,0.00999921,0.00999921
10,1703.38,1.60587,1.46466,1.11894,0.34191,0.41913,0.31676,0.22091,1.21291,1.94407,0.9809,0.00999911,0.00999911,0.00999911
11,1873.62,1.57009,1.37571,1.11548,0.75142,0.46223,0.45297,0.26864,1.42928,1.86616,0.9975,0.00999901,0.00999901,0.00999901
12,2043.97,1.56545,1.37474,1.08931,0.39283,0.73064,0.52349,0.30965,1.3317,1.34072,0.98796,0.00999891,0.00999891,0.00999891
13,2214.3,1.5527,1.27712,1.06513,0.75983,0.56517,0.66491,0.43803,1.12206,1.42755,0.92831,0.00999881,0.00999881,0.00999881
14,2384.72,1.50215,1.23518,1.07954,0.54382,0.67034,0.68395,0.49012,1.08468,1.26874,0.92619,0.00999871,0.00999871,0.00999871
15,2555.19,1.47729,1.18094,1.0487,0.61365,0.65564,0.6321,0.44477,1.05068,1.21248,0.92362,0.00999861,0.00999861,0.00999861
16,2725.44,1.44512,1.14837,1.0419,0.56025,0.76282,0.71485,0.51019,1.05843,1.20595,0.92297,0.00999851,0.00999851,0.00999851
17,2895.97,1.43404,1.12902,1.03897,0.81147,0.58761,0.69852,0.45365,1.04178,1.23188,0.90864,0.00999842,0.00999842,0.00999842
18,3066.26,1.44274,1.11333,1.02503,0.73788,0.62868,0.6948,0.48544,1.10509,1.19504,0.93809,0.00999832,0.00999832,0.00999832
19,3236.57,1.37743,1.02724,1.0279,0.54549,0.4639,0.49399,0.34099,1.40476,1.71625,0.99823,0.00999822,0.00999822,0.00999822
20,3407.05,1.39019,1.03337,1.02229,0.76068,0.65356,0.73427,0.53992,0.98231,1.08197,0.89145,0.00999812,0.00999812,0.00999812
21,3577.49,1.41298,1.03106,1.03988,0.77505,0.58909,0.66674,0.47975,0.99798,1.25719,0.90643,0.00999802,0.00999802,0.00999802
22,3747.64,1.40083,1.04571,1.04033,0.67886,0.75363,0.77019,0.54062,0.97713,1.02653,0.88138,0.00999792,0.00999792,0.00999792
23,3917.54,1.38525,1.00245,1.04029,0.83719,0.56342,0.65311,0.48259,1.00417,1.34818,0.89056,0.00999782,0.00999782,0.00999782
24,4087.51,1.35932,0.98295,1.02093,0.67566,0.79534,0.7499,0.53929,1.04458,1.09744,0.91025,0.00999772,0.00999772,0.00999772
25,4257.39,1.38721,0.98362,1.01984,0.84099,0.8068,0.86151,0.65007,0.86527,0.94585,0.87574,0.00999762,0.00999762,0.00999762
26,4427.61,1.35768,0.95151,1.01552,0.70283,0.78949,0.78043,0.52677,1.07577,0.97946,0.91294,0.00999753,0.00999753,0.00999753
27,4598,1.34357,0.92432,1.01193,0.84346,0.71831,0.83978,0.58083,0.95842,0.93448,0.89017,0.00999743,0.00999743,0.00999743
28,4768,1.36607,0.96419,1.01782,0.72792,0.69363,0.71716,0.45791,1.12471,1.11432,0.92774,0.00999733,0.00999733,0.00999733
29,4937.8,1.35227,0.94108,1.00618,0.68458,0.83946,0.79131,0.53679,0.9743,0.98101,0.88004,0.00999723,0.00999723,0.00999723
30,5107.99,1.31289,0.89561,1.00832,0.81271,0.81611,0.85388,0.6213,1.01716,0.89366,0.90508,0.00999713,0.00999713,0.00999713
31,5278.2,1.29271,0.91791,0.98963,0.82493,0.73108,0.72265,0.50479,1.06156,0.9818,0.90139,0.00999703,0.00999703,0.00999703
32,5448.61,1.30506,0.90104,0.99594,0.80272,0.80685,0.83247,0.62207,0.8159,0.84854,0.86018,0.00999693,0.00999693,0.00999693
33,5618.63,1.29256,0.86485,0.99224,0.80861,0.7742,0.80849,0.62489,0.80804,0.83821,0.85672,0.00999683,0.00999683,0.00999683
34,5788.61,1.31934,0.87284,0.99915,0.81975,0.75919,0.87571,0.6259,0.96202,0.99216,0.87743,0.00999673,0.00999673,0.00999673
35,5958.48,1.27728,0.84317,0.97301,0.67216,0.73818,0.7783,0.60005,0.91736,0.94762,0.86172,0.00999663,0.00999663,0.00999663
36,6128.22,1.25669,0.84147,0.97124,0.78231,0.82578,0.89045,0.65096,0.95843,0.83418,0.87842,0.00999654,0.00999654,0.00999654
37,6298.21,1.28421,0.85724,0.9829,0.68551,0.78309,0.81719,0.55854,0.93969,0.96483,0.87538,0.00999644,0.00999644,0.00999644
38,6468.51,1.29384,0.85203,0.97963,0.62116,0.83428,0.83688,0.60163,0.87837,0.93944,0.87395,0.00999634,0.00999634,0.00999634
39,6638.65,1.25829,0.82002,0.9762,0.83818,0.77534,0.89505,0.63483,0.9842,0.81515,0.8969,0.00999624,0.00999624,0.00999624
40,6808.84,1.25374,0.81223,0.97943,0.73786,0.90733,0.8952,0.64842,0.9737,0.78899,0.8856,0.00999614,0.00999614,0.00999614
41,6979.05,1.23973,0.80112,0.97227,0.82066,0.87917,0.93933,0.72541,0.78806,0.70399,0.84517,0.00999604,0.00999604,0.00999604
42,7148.95,1.24148,0.82311,0.97997,0.77508,0.8049,0.82536,0.60781,0.87166,0.90305,0.85854,0.00999594,0.00999594,0.00999594
43,7319.34,1.23357,0.78862,0.967,0.88295,0.93934,0.9695,0.74685,0.75297,0.68788,0.85854,0.00999584,0.00999584,0.00999584
44,7489.68,1.22327,0.77346,0.96066,0.75474,0.96049,0.9123,0.72244,0.77971,0.69107,0.85609,0.00999574,0.00999574,0.00999574
45,7659.75,1.21851,0.75844,0.96077,0.69558,0.7803,0.81718,0.64456,0.84458,1.00414,0.8735,0.00999564,0.00999564,0.00999564
46,7829.79,1.21754,0.77364,0.96807,0.71148,0.64547,0.69772,0.54009,0.88543,1.07678,0.87888,0.00999554,0.00999554,0.00999554
47,8000.18,1.20053,0.76877,0.97091,0.86556,0.7197,0.85353,0.68364,0.80049,0.78132,0.85252,0.00999545,0.00999545,0.00999545
